date,state,dte_reco,call_tier,meltup_risk,iv_percentile,vrp_iv_minus_hv,iv30,hv30,close,rsi14,ma20,ma50,dist_ma20_pct,below_ma50,mnav,btc_price
2026-08-05,NEUTRAL,-,,False,77.6,-10.4,71.8,82.2,98.37,48.4,95.98,108.69,2.5,True,1.029,64918.0
2026-08-06,NEUTRAL,-,,False,76.9,-7.7,69.5,77.2,96.85,46.8,96.13,107.42,0.7,True,1.028,64280.0
2026-08-07,NEUTRAL,-,,False,68.6,-2.2,69.5,71.7,100.01,50.4,96.4,106.34,3.7,True,1.04,64936.0
2026-08-10,NEUTRAL,-,,False,66.6,-2.1,69.2,71.3,97.33,47.5,96.66,105.25,0.7,True,1.035,64039.0
2026-08-11,NEUTRAL,-,,False,32.7,4.1,66.9,62.8,96.09,46.2,96.59,103.99,-0.5,True,1.032,63677.0
2026-08-12,NEUTRAL,-,,False,23.8,4.6,64.5,59.9,94.83,44.8,96.46,102.9,-1.7,True,1.026,63495.0
2026-08-13,NEUTRAL,-,,False,19.6,9.0,65.6,56.6,97.1,47.8,96.61,102.12,0.5,True,1.045,63327.0
2026-08-14,NEUTRAL,-,,False,8.6,9.8,63.2,53.4,93.04,43.3,96.52,101.45,-3.6,True,1.023,62840.0
2026-08-17,NEUTRAL,-,,False,14.6,11.8,67.2,55.4,97.68,49.2,96.51,100.81,1.2,True,1.034,64333.0
2026-08-14,NEUTRAL,-,,False,8.6,14.2,67.6,53.4,93.04,43.3,96.52,101.45,-3.6,True,1.024,64183.0
2026-08-17,NEUTRAL,-,,False,14.6,11.1,66.5,55.4,97.68,49.2,96.51,100.81,1.2,True,1.009,64795.0
2026-08-18,NEUTRAL,-,,False,19.7,10.6,67.4,56.7,92.52,43.7,96.04,100.25,-3.7,True,0.992,64589.0
2026-08-19,NEUTRAL,-,,False,39.3,6.4,72.2,65.7,104.25,55.7,96.25,99.79,8.3,False,1.014,68681.0
2026-08-20,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",,True,56.7,8.1,77.0,68.9,112.39,61.8,97.19,99.7,15.6,False,1.009,72851.0
2026-08-21,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",CALLS_GOOD_PREMIUM,True,62.4,5.7,76.3,70.6,119.25,66.1,98.57,99.78,21.0,False,0.99,77480.0
2026-08-24,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",CALLS_GOOD_PREMIUM,True,60.5,5.7,75.7,70.0,122.63,68.0,99.77,99.83,22.9,False,0.995,78956.0
2026-08-25,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",,True,55.9,3.7,72.7,68.9,126.83,70.2,101.3,99.89,25.2,False,1.025,78692.0
2026-08-26,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",,True,59.1,-1.0,68.8,69.8,123.19,65.9,102.79,99.73,19.8,False,1.005,78499.0
2026-08-27,RICH_NO_SIDE,"- (premium rich, no directional confirmation)",,True,74.1,-0.1,74.3,74.4,137.4,72.9,104.78,100.02,31.1,False,1.07,80256.0
2026-08-28,NEUTRAL,-,,True,76.9,-12.0,66.7,78.7,127.31,63.0,106.48,100.23,19.6,False,1.04,77759.0
2026-08-27,NEUTRAL,-,,True,74.1,-5.4,69.0,74.4,137.4,72.9,104.78,100.02,31.1,False,1.055,79109.0
2026-08-31,NEUTRAL,-,,True,76.8,-10.6,68.5,79.1,132.94,65.8,108.38,100.64,22.7,False,1.066,78499.0
2026-09-01,NEUTRAL,-,,False,77.1,-13.7,67.6,81.2,124.88,59.0,109.74,100.95,13.8,False,1.032,77182.0
2026-09-02,NEUTRAL,-,,False,76.8,-14.5,66.6,81.1,123.19,57.7,110.99,101.34,11.0,False,1.021,77171.0
